name,address,phone,lat,lng
Toko Plastik,"Jl. Teluk Gong Raya No.3-D 12, RT.12/RW.10, Pejagalan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",(021) 6621817,-6.1384398,106.7439671
Toko Plastik Sinar Baru,"Jl. Kedoya Pesing No.1A, RT.1/RW.1, Kedoya Utara, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11520",0817-895-777,-6.1384398,106.7439671
Toko Plastik 999,"Pergudangan Nilakandi, Jl. Muara Baru No.16A, RT.3/RW.17, Penjaringan, North Jakarta City, Jakarta 14440",0817-6556-822,-6.1139711,106.7687226
PD Sinar Jaya Plastik,"Jl. Perniagaan Raya No.Kelurahan 82, RT.12/RW.1, Roa Malaka, Tambora, West Jakarta City, Jakarta 11230",(021) 6926007,-6.1139711,106.7687226
Toko Plastik Dwijaya,"Jl. Ps. Pagi Raya gang tumplug No.34, RT.3/RW.2, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11230",(021) 6922578,-6.1139711,106.7687226
Palem Plastik,"Dua Ruko dari Bakmi Kadut, Jl. Taman Palem Lestari No.2 3, RT.3/RW.13, Cengkareng Bar., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",(021) 55952927,-6.1363311,106.6850579
Sumber plastik jakarta,"Pasar Pagi Mangga Dua Jalan Mangga Dua Raya , Lt Dasar Blok C No.26-27, Lt Dasar, RT.11/RW.5, Ancol, Kec. Pademangan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14430",0812-9051-3162,-6.1356395,106.7868727
Toko Pariangan Plastik,"Jl. Pintu Besar Selatan 1 No.16, RT.1/RW.6, Pinangsia, Kec. Taman Sari, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11110",,-6.1356395,106.7868727
Toko Cahaya Plastik,"Jl. Pangeran Tubagus Angke, Blok Jl. Gg. Siaga No.33, RT.10/RW.11, Angke, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11330",,-6.1420639,106.769325
Toko Samudra Plastik,"Jl. Pangeran Tubagus Angke No.34g, RT.13/RW.7, Jelambar Baru, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11460",0822-9950-7075,-6.1437803,106.7510306
Toko Berkah Jaya Plastik,"Jl. Garikas Raya RT 12 RW 16 No 96 Kios No 3, RT.12/RW.16, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",0895-3234-18550,-6.1384155,106.709841
Toko Aktur Plastik,"Jl. Menceng Raya No.13, RT.4/RW.7, Tegal Alur, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11820",(021) 5557036,-6.1230362,106.6816647
AV PLASTIK,"Ruko Mutiara Taman Palem, Blok C19, No. 69, JL. Raya Kamal Outer Ring Road, RT.4/RW.14, Cengkareng Tim., Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11730",0819-3669-2074,-6.1230362,106.6816647
Aneka Plastik Menara,"Pasar Pagi Lama, Los T I /29-32, JL. Pasar Pagi, RT.2/RW.2, Roa Malaka, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 14450",(021) 6926305,-6.138498,106.7735149
Toko Sanjaya Plastik,"Jl. Karang Anyar A No.1A 2, RT.10/RW.7, Kartini, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10750",,-6.154891,106.7955901
Toko Plastik Jaya Abadi,"Jl. Jembatan Besi Raya No.07 6, RT.9/RW.3, Jemb. Besi, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 12110",0812-8040-5512,-6.1517877,106.7639078
Toko plastik Makmur Terus Jaya,"Jl. Tlk. Gong Sel. III No.19, RT.6/RW.17, Pejagalan, Kecamatan Penjaringan, Jkt Utara, Daerah Khusus Ibukota Jakarta 14450",0813-1423-2322,-6.1396686,106.747275
TOKO MACAM MACAM PLASTIK,"Jl. Raya Duri Kosambi No.100 C, RT.1/RW.1, Duri Kosambi, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11750",(021) 5418279,-6.1689992,106.6875391
TOKO PLASTIK SNS,"VQ5W+3RH, RT.19/RW.1, Pejagalan, Jakarta, Jkt Utara, Daerah Khusus Ibukota Jakarta 14440",0857-7265-1178,-6.1421835,106.761051
Toko Sehati,"Jl. KH.Moh.Mansyur No.264, RT.2/RW.1, Jemb. Lima, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220",0811-9786-264,-6.1421835,106.761051
Toko Subur (Toko Perabotan Plastik),"Jl. KH.Moh.Mansyur No.148, RT.1/RW.2, Tambora, Kec. Tambora, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11220",0812-8158-529,-6.1421835,106.761051
